{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:15 -0400', 'method': 'GET', 'url': '/', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '3383', 'referer': '-', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/js/add_event_listeners.js', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '618', 'referer': 'http://127.0.0.1/dvwa/index.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/js/dvwaPage.js', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '901', 'referer': 'http://127.0.0.1/dvwa/index.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/images/logo.png', 'protocol': 'HTTP/1.1', 'status': '304', 'size': '249', 'referer': 'http://127.0.0.1/dvwa/index.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/images/theme-light-dark.png', 'protocol': 'HTTP/1.1', 'status': '304', 'size': '248', 'referer': 'http://127.0.0.1/dvwa/index.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/js/add_event_listeners.js', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '619', 'referer': '-', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:49 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/js/dvwaPage.js', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '900', 'referer': '-', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:56:54 -0400', 'method': 'GET', 'url': '/dvwa/vulnerabilities/csrf/', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '2505', 'referer': 'http://127.0.0.1/dvwa/index.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:57:00 -0400', 'method': 'GET', 'url': '/dvwa/', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '2792', 'referer': 'http://127.0.0.1/dvwa/vulnerabilities/csrf/', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:57:05 -0400', 'method': 'GET', 'url': '/dvwa/setup.php', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '2658', 'referer': 'http://127.0.0.1/dvwa/', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:57:07 -0400', 'method': 'GET', 'url': '/dvwa/dvwa/images/spanner.png', 'protocol': 'HTTP/1.1', 'status': '304', 'size': '249', 'referer': 'http://127.0.0.1/dvwa/setup.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:57:14 -0400', 'method': 'POST', 'url': '/dvwa/setup.php', 'protocol': 'HTTP/1.1', 'status': '302', 'size': '343', 'referer': 'http://127.0.0.1/dvwa/setup.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:57:14 -0400', 'method': 'GET', 'url': '/dvwa/setup.php', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '2764', 'referer': 'http://127.0.0.1/dvwa/setup.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:57:26 -0400', 'method': 'GET', 'url': '/dvwa/vulnerabilities/sqli/', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '1842', 'referer': 'http://127.0.0.1/dvwa/setup.php', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
{'ip': '127.0.0.1', 'timestamp': '18/Jul/2025:01:57:51 -0400', 'method': 'GET', 'url': '/dvwa/vulnerabilities/sqli/?id=aaa+%2B+%22test%22&Submit=Submit&user_token=f9b158efb1ebe1f1e3acdb343c645b05', 'protocol': 'HTTP/1.1', 'status': '200', 'size': '1845', 'referer': 'http://127.0.0.1/dvwa/vulnerabilities/sqli/', 'user_agent': 'Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0'}
